org,district,name,short_name,cfa_grp_name
CFA,05,Garvoc,GARC,Hopkins - Curdies
CFA,05,Gazette,GAZE,Mount  Rouse
CFA,05,Glenthompson,GTOM,Serra
CFA,05,Grange,GRAN,Dundas
CFA,05,Grassmere,GRRE,Merri
CFA,05,Gringe,GRIN,Balmoral
CFA,05,Gritjurk,GRIT,Balmoral
CFA,05,Bainbridge,BAIN,Dundas
CFA,05,Hamilton,HAMI,Dundas
CFA,05,Hawkesdale,HAWK,Hawkesdale
CFA,05,Hensley Park,HENS,Dundas
CFA,05,Hexham,HEXH,Mortlake
CFA,05,Hilgay Settlers,HILG,Balmoral
CFA,05,Karabeal,KARA,Dundas
CFA,05,Kirkstall,KIRK,Belfast
CFA,05,Kolora,KOLO,Mortlake
CFA,05,Konongwootong,KONO,Nareen
CFA,05,Koroit,KORO,Merri
CFA,05,Laang,LAAN,Hopkins - Curdies
CFA,05,Linlithgow,LGOW,Mount  Rouse
CFA,05,Macarthur,MACA,Macarthur
CFA,05,Melville Forest,MFOR,Balmoral
CFA,05,Mepunga,MEPU,Hopkins - Curdies
CFA,05,Minhamite,MINH,Hawkesdale
CFA,05,Mirranatwa,MIRR,Dundas
CFA,05,Mooralla,MOLA,Dundas
CFA,05,Muntham,MUNT,Nareen
CFA,05,Nareen,NARE,Nareen
CFA,05,Mortlake,MLKU,Mortlake
CFA,05,Naringal,NGAL,Hopkins - Curdies
CFA,05,Nirranda South,NIRR,Hopkins - Curdies
CFA,05,North Balmoral,NTHB,Balmoral
CFA,05,North Byaduk,NBYA,Macarthur
CFA,05,North Hamilton,NHTN,Dundas
CFA,05,Nullawarre,NWAR,Hopkins - Curdies
CFA,05,Orford,ORFO,Macarthur
CFA,05,Panmure,PANM,Hopkins - Curdies
CFA,05,Penshurst,PENS,Mount  Rouse
CFA,05,Peterborough,PETE,Hopkins - Curdies
CFA,05,Pigeon Ponds,PPND,Nareen
CFA,05,Port Fairy,PRTF,Belfast
CFA,05,Purnim,PURN,Merri
CFA,05,Ripponhurst,RIPP,Macarthur
CFA,05,Spring Creek,SPCR,Hawkesdale
CFA,05,St Helens,STNS,Belfast
CFA,05,Strathkellar,SKEL,Dundas
CFA,05,Strathmore,SMOR,Serra
CFA,05,Tarrayoukyan,TYAN,Nareen
CFA,05,Tarrenlea,TLEA,Balmoral
CFA,05,Tarrington,TTON,Dundas
CFA,05,The Sisters,THES,Mortlake
CFA,05,Toolong,TLNG,Belfast
CFA,05,Vasey,VASE,Balmoral
CFA,05,Victoria Valley,VICV,Dundas
CFA,05,Wando Heights,WHIG,Nareen
CFA,05,Wangoom,WAOM,Merri
CFA,05,Warrayure-Moutajup,WJUP,Dundas
CFA,05,Warrnambool,WBOL,Merri
CFA,05,Warrong,WAOG,Hawkesdale
CFA,05,Willatook & District,WTOK,Hawkesdale
CFA,05,Winslow & Yarpturk,WINS,Merri
CFA,05,Woodford,WFRD,Merri
CFA,05,Woodhouse,WHOU,Serra
CFA,05,Woolsthorpe,WTHO,Hawkesdale
CFA,05,Wootong Vale,WOTV,Balmoral
CFA,05,Wooriwyrite,WRIT,Mortlake
CFA,05,Yambuk,YAMB,Belfast
CFA,05,Yulecart,YULE,Dundas
