distrct_no,brig_no,brig_name,short_name,grp_name
07,7463,Wallington,WALN,Bellarine
07,7471,Werneth,WERN,Leigh
07,7500,Winchelsea,WSEA,Winchelsea
07,7528,Wingeel,WING,Winchelsea
07,7536,Wurdale,WURD,Winchelsea
07,7544,Maude,MAUD,Anakie
07,7552,Geelong City,GONG,Geelong
07,7560,Geelong West,GEWE,Geelong
07,7579,Little River,LITT,Anakie
07,7587,Highton,HIGH,Geelong
07,7617,Belmont,BELM,Geelong
07,7625,Corio,CORO,Geelong
08,8001,Balnarring,BALN,Westernport
08,8028,Bass,BASS,Bass Coast
08,8036,Baxter,BAXT,Westernport
08,8044,Bayles,BAYL,Cardinia
08,8052,Beaconsfield,BEAC,Cardinia
08,8060,Beaconsfield Upper,BEUP,Cardinia
08,8079,Berwick,BERW,Casey
08,8087,Bittern,BITT,Westernport
08,8095,Boneo,BONE,Peninsula
08,8109,Bunyip,BUNY,Cardinia
08,8117,Clyde,CLYD,Casey
08,8125,Cockatoo,COAT,Cardinia
08,8133,Cranbourne,CRAN,Casey
08,8168,Crib Point,CRIB,Westernport
08,8176,Devon Meadows,DEVO,Casey
08,8184,Dromana,DROM,Peninsula
08,8192,Flinders,FLIN,Peninsula
08,8206,French Island,FRIS,Bass Coast
08,8222,Gembrook,GEMB,Cardinia
08,8230,Glen Alvie,GLEN,Bass Coast
08,8240,Hallam,HALL,Casey
08,8249,Hastings,HSTG,Westernport
08,8265,Heath Hill - Yannathan,HEAT,Cardinia
08,8270,Keysborough,KEYS,South East
08,8273,Kilcunda,KILC,Bass Coast
08,8281,Koo Wee Rup,KOOW,Cardinia
08,8303,Lang Lang,LANG,Cardinia
08,8338,Main Ridge,MAIN,Peninsula
08,8346,Moorooduc,MORO,Westernport
08,8354,Mornington,MORN,Westernport
08,8362,Mt Martha,MTMA,Peninsula
08,8370,Nar Nar Goon,NARN,Cardinia
08,8395,Narre Warren North,NNTH,Casey
08,8400,San Remo,SEMO,Bass Coast
08,8419,Officer,OFFI,Cardinia
08,8427,Pakenham,PKHM,Cardinia
08,8443,Pakenham Upper,PAKU,Cardinia
08,8446,Patterson River,PATR,South East
08,8451,Pearcedale,PEAR,Casey
08,8479,Phillip Island,PISL,Bass Coast
08,8486,Dalyston,DALY,Bass Coast
08,8494,Red Hill,REDH,Westernport
08,8508,Rosebud,ROSE,Peninsula
08,8524,Shoreham,SHOR,Westernport
08,8526,Skye,SKYE,South East
08,8532,Somers,SOME,Westernport
08,8540,Somerville,SOVL,Westernport
08,8567,Sorrento,SNTO,Peninsula
08,8575,Toomuc,TOOM,Cardinia
08,8583,Tooradin,TOOR,Casey
08,8605,Tyabb,TYAB,Westernport
08,8613,Tynong,TYNO,Cardinia
08,8621,Wonthaggi,WOGI,Bass Coast
08,8648,Corinella,CORN,Bass Coast
08,8656,Kernot-Grantville,KERN,Bass Coast
08,8664,Warneet - Blind Bight,WARN,Casey
08,8672,Maryknoll & District,MARY,Cardinia
08,8680,Rye,RYEA,Peninsula
08,8711,Carrum Downs,CADW,South East
08,8737,Dandenong,DAND,South East
08,8761,Edithvale,EDIT,South East
08,8788,Frankston,FTON,South East
08,8818,Hampton Park,HAMP,Casey
08,8826,Mt Eliza,MTEL,South East
08,8834,Noble Park,NOBL,South East
08,8850,Springvale,SVAL,South East
08,8869,Narre Warren,NARR,Casey
08,8877,Langwarrin,LANW,Westernport
09,9008,Allambee,ALLA,Strzelecki
09,9016,Berry's Creek,BCRK,Strzelecki
09,9024,Darnum & Ellinbank,DARN,Baw Baw
09,9032,Drouin,DROU,Baw Baw
09,9059,Drouin West,DWST,Baw Baw
09,9067,Erica & District,ERIC,Baw Baw
09,9075,Ruby,RUBY,Strzelecki
09,9080,Fish Creek & District,FISH,South Gippsland
09,9091,Foster,FOST,South Gippsland
09,9110,Hallora & District,HALO,Baw Baw
09,9113,Hallston-Mt Eccles,HMTE,Strzelecki
09,9121,Hedley,HEDL,South Gippsland
09,9148,Inverloch,INVL,South Gippsland
09,9156,Kongwak & District,KONG,Strzelecki
09,9164,Koonwarra,KWAR,Strzelecki
09,9172,Korumburra,KORU,Strzelecki
09,9202,Leongatha,LEON,Strzelecki
09,9210,Leongatha South,LSTH,Strzelecki
09,9229,Loch,LOCH,Strzelecki
09,9235,Longwarry & District,LONG,Baw Baw
09,9245,Dumbalk,DUMB,South Gippsland
09,9253,Meeniyan & Stony Creek,MEEN,South Gippsland
09,9261,Milford,MILF,South Gippsland
09,9288,Mirboo North,MNTH,Strzelecki
09,9326,Nerrena,NERR,Strzelecki
09,9342,Noojee,NOOJ,Baw Baw
09,9350,Nilma North,NITH,Baw Baw
09,9369,Poowong,POOW,Strzelecki
09,9377,Pound Creek,PCRK,South Gippsland
09,9393,Neerim South,NSTH,Baw Baw
09,9407,Tarwin Lower District,TARW,South Gippsland
09,9415,Thorpdale,THDL,Strzelecki
09,9423,Toora,TORA,South Gippsland
09,9460,Trafalgar,TRAF,Baw Baw
09,9474,Trida,TRID,Baw Baw
09,9482,Welshpool,WELS,South Gippsland
09,9490,Westbury,WBRY,Baw Baw
09,9504,Willowgrove,WGRO,Baw Baw
09,9520,Yarragon,YGON,Baw Baw
09,9539,Yanakie,YKIE,South Gippsland
09,9547,Warragul,WARA,Baw Baw
10,10006,Alberton West,ALBE,Tarra
10,10073,Boisdale,BOIS,Riverslea
10,10103,Briagolong,BRIA,Avon
10,10138,Carrajung,CJNG,Tarra
10,10146,Clydebank,CBNK,Avon
10,10154,Cowwarr,COWW,Riverslea
10,10162,Dargo,DARG,Avon
10,10170,Seaton,SEAT,Riverslea
10,10189,Devon North,DENT,Tarra
10,10219,Giffard West,GIFF,Stradbroke
10,10235,Glengarry East,GGET,Riverslea
10,10278,Golden Beach,GBCH,Stradbroke
10,10286,Heyfield,HEYF,Riverslea
10,10324,Licola,LICO,Riverslea
10,10332,Loch Sport,LSPT,Stradbroke
10,10340,Longford,LFRD,Stradbroke
10,10359,Maffra,MAFF,Riverslea
10,10383,Meerlieu,MEER,Avon
10,10421,Munro,MNRO,Avon
10,10448,Nambrok,NAMB,Riverslea
10,10456,Newry,NEWR,Riverslea
10,10472,Perry Bridge,PBRG,Avon
10,10480,Port Albert,PRTA,Tarra
10,10499,Rosedale,ROSR,Riverslea
10,10510,Sale,SALE,Riverslea
10,10529,Seaspray,SEAS,Stradbroke
10,10537,Glenmaggie,GMAG,Riverslea
10,10545,Stradbroke,STRD,Stradbroke
10,10555,Stratford,STRT,Avon
10,10588,Tinamba,TINA,Riverslea
10,10669,Valencia Creek,VALE,Riverslea
10,10677,Willung,WLNG,Stradbroke
10,10685,Willung South,WSTH,Tarra
10,10693,Winnindoo,WDOO,Riverslea
10,10707,Won Wron,WONW,Tarra
10,10715,Woodside,WSDE,Tarra
10,10723,Woranga,WAGA,Tarra
10,10758,Yarram,YRAM,Tarra
10,10812,Coongulla,COON,Riverslea
10,10820,Jack River,JACK,Tarra
11,11002,Bairnsdale,BDAL,Mitchell
11,11010,Benambra,BBRA,Omeo
11,11029,Bendoc,BDOC,Mount Delegate
11,11037,Bengworden,BWDN,Mitchell
11,11045,Bruthen,BRUT,Tambo
11,11053,Mossi - Tambo,MTAM,Tambo
11,11061,Buchan,BUCH,Tambo
11,11096,Cann Valley,CVAL,Orbost
11,11126,Ensay,ENSA,Omeo
11,11134,Fernbank,FBNK,Mitchell
11,11142,Flaggy Creek,FLAG,Mitchell
11,11150,Gelantipy,GELA,Tambo
11,11169,Glenaladale,GLDA,Mitchell
11,11172,Goongerah,GOON,Mount Delegate
11,11177,Hillside,HILL,Mitchell
11,11179,Johnsonville,JHNS,Tambo
11,11185,Kalimna West,KALW,Tambo
11,11193,Lakes Entrance,LENT,Tambo
11,11207,Lindenow South,LIND,Mitchell
11,11215,Mallacoota,MALL,Orbost
11,11223,Marlo,MARL,Orbost
11,11231,Metung,METU,Tambo
11,11258,Mount Taylor,MTAY,Mitchell
11,11266,Newmerella,NEWM,Orbost
11,11280,Omeo,OMEO,Omeo
11,11290,Orbost,ORBO,Orbost
11,11312,Paynesville,PAYN,Mitchell
11,11320,Sarsfield,SARS,Mitchell
11,11339,Swifts Creek,SWCR,Omeo
11,11347,Toorloo,TLOO,Tambo
11,11355,Wairewa,WAIR,Orbost
11,11371,Bonang,BONG,Mount Delegate
11,11398,Bemm,BEMM,Orbost
12,12009,Acheron,ACHE,Alexandra
12,12020,Alexandra,ADRA,Alexandra
12,12041,Broadford,BRFD,Mitchell Shire
12,12076,Buxton,BUXT,Alexandra
12,12092,Eildon,EILD,Alexandra
12,12106,Flowerdale,FLOW,Yea
12,12114,Glenaroua,GRUA,Mitchell Shire
12,12122,Glenburn,GLBU,Yea
12,12157,Highlands-Caveat,HLAN,Yea
12,12160,Hilldene,HILD,Mitchell Shire
12,12165,Homewood,HOMW,Yea
12,12175,Kilmore,KILM,Mitchell Shire
12,12185,Kinglake West,KIWE,Yea
12,12208,Kinglake District,KING,Yea
12,12211,Koriella,KORI,Alexandra
12,12246,Molesworth,MOLE,Yea
12,12262,Murrindindi & Woodbourne,MUWD,Yea
12,12270,Nulla Vale,NULA,Mitchell Shire
12,12289,Pyalong,PYAL,Mitchell Shire
12,12297,Seymour,SEYM,Mitchell Shire
12,12319,Strath Creek-Reedy Creek,SCRC,Yea
12,12327,Taggerty,TAGG,Alexandra
12,12335,Tallarook,TALA,Mitchell Shire
12,12346,Terip Terip,TRIP,Alexandra
12,12351,Thornton,THRN,Alexandra
12,12360,Toolangi,TOLA,Yea
12,12378,Tooborac,TOOB,Mitchell Shire
12,12386,Trawool,TWOL,Mitchell Shire
12,12390,Wallan,WALL,Mitchell Shire
12,12394,Wandong,WANG,Mitchell Shire
12,12408,Whanregarwen,WHAN,Alexandra
12,12410,Whiteheads Creek-Tarcombe,WCTM,Mitchell Shire
12,12416,Yarck,YARK,Alexandra
12,12424,Yea,YEAA,Yea
12,12432,Limestone,LIME,Yea
12,12475,Narbethong,NARB,Alexandra
12,12483,Marysville,MVIL,Alexandra
12,12491,Clonbinane,CLON,Mitchell Shire
13,13005,Badger Creek,BADG,Maroondah
13,13013,Bayswater,BAYS,Knox
13,13021,Belgrave,BELG,Dandenong Ranges
13,13056,Belgrave Heights & South,BELS,Dandenong Ranges
13,13064,Boronia,BORO,Knox
13,13078,Chirnside Park,CHIR,Maroondah
13,13102,Clematis,CLEM,Dandenong Ranges
13,13110,Coldstream,COLD,Maroondah
13,13129,Dixons Creek,DIXO,Maroondah
13,13161,Emerald,EMLD,Dandenong Ranges
13,13188,Ferntree Gully,FERN,Knox
13,13218,Gruyere,GRUY,Yarra Valley
13,13226,Healesville,HVIL,Maroondah
13,13236,Hillcrest,HILC,Yarra Valley
13,13242,Hoddle's Creek,HODD,Yarra Valley
13,13269,Kallista-The Patch,KALL,Dandenong Ranges
13,13277,Kalorama & Mt Dandenong,KALO,Dandenong Ranges
13,13307,Lilydale,LDAL,Maroondah
13,13310,Little Yarra,LTYA,Yarra Valley
13,13323,Macclesfield,MACC,Dandenong Ranges
13,13358,Menzies Creek,MENZ,Dandenong Ranges
13,13366,Monbulk,MONB,Dandenong Ranges
13,13375,Montrose,MONT,Knox
13,13390,Mt Evelyn,MTEV,Maroondah
13,13420,Narre Warren East,NAWE,Dandenong Ranges
13,13447,Olinda,OLIN,Dandenong Ranges
13,13471,Sassafras & Ferny Creek,SASS,Dandenong Ranges
13,13498,Scoresby,SCOR,Knox
13,13528,Selby,SELB,Dandenong Ranges
13,13536,Seville,SEVI,Yarra Valley
13,13544,Silvan,SILV,Dandenong Ranges
13,13587,Upper Ferntree Gully,UPPE,Knox
13,13595,Upwey,UPWE,Dandenong Ranges
13,13617,Wandin,WAND,Yarra Valley
13,13625,Warburton,WARB,Yarra Valley
13,13676,South Warrandyte,STHW,Maroondah
13,13692,Wesburn-Millgrove,WBRN,Yarra Valley
13,13706,Wonga Park,WONG,Maroondah
13,13722,Yarra Glen,YAGL,Maroondah
13,13730,Yarra Junction,YAJU,Yarra Valley
13,13757,Yellingbo,YELL,Yarra Valley
13,13781,The Basin,THEB,Knox
13,13803,Warrandyte,WARR,Maroondah
13,13811,Rowville,ROWV,Knox
13,13838,Mooroolbark,MBRK,Maroondah
13,13854,Reefton,REEF,Yarra Valley
14,14001,Arthurs Creek,ARTH,Whittlesea/D.Valley
14,14058,Caroline Springs,CARO,Mount Cottrell
14,14065,Christmas Hills,CHRI,Nillumbik
14,14109,Diamond Creek,DIAM,Whittlesea/D.Valley
14,14125,Diggers Rest,DIGG,Mount Cottrell
14,14133,Doreen,DORE,Whittlesea/D.Valley
14,14135,Eltham,EHAM,Nillumbik
14,14151,Eynesbury,EYNE,Mount Cottrell
14,14198,Hurstbridge,HURS,Nillumbik
14,14206,Kalkallo,KAKA,Hume
14,14210,Kangaroo Ground,KANG,Nillumbik
14,14249,Melton,MTON,Mount Cottrell
14,14285,North Warrandyte,WANT,Nillumbik
14,14305,Panton Hill,PANT,Nillumbik
14,14315,Point Cook,PTCO,Mount Cottrell
14,14333,Research,RESE,Nillumbik
14,14346,Rockbank,ROCK,Mount Cottrell
14,14370,South Morang,STHM,Whittlesea/D.Valley
14,14375,St Andrews,STAN,Nillumbik
14,14389,Sunbury,SNBY,Hume
14,14419,Toolern Vale,TOOL,Mount Cottrell
14,14427,Truganina,TRUG,Mount Cottrell
14,14438,Wattle Glen,WATT,Nillumbik
14,14443,Werribee,WBEE,Mount Cottrell
14,14478,Whittlesea,WHIT,Whittlesea/D.Valley
14,14494,Wollert & District,WOLL,Hume
14,14520,Wyndham Vale,WYDV,Mount Cottrell
14,14524,Yarrambat,YARR,Whittlesea/D.Valley
14,14532,Mernda,MERN,Whittlesea/D.Valley
14,14559,Wildwood,WILD,Hume
14,14567,Hoppers Crossing,HOPP,Mount Cottrell
14,14575,Craigieburn,CBRN,Hume
14,14583,Bulla,BULL,Hume
14,14591,Epping,EPPI,Hume
14,14605,Greenvale,GREE,Hume
14,14613,Plenty,PLEN,Whittlesea/D.Valley
15,15008,Ascot & District,ASCO,Ballarat
15,15010,Bacchus Marsh,BMSH,Pentland
15,15016,Ballan,BALA,Ballan
15,15030,Balliang & District,BALL,Pentland
15,15032,Blackwood,BLAC,Ballan
15,15059,Bungaree,BREE,Buninyong
15,15068,Buninyong-Mt Helen,BUNI,Eureka
15,15075,Burrumbeet,BURR,Ballarat
15,15105,Campbelltown,CTWN,Birch
15,15113,Cape Clear,CAPE,Grenville
15,15121,Cardigan & Windermere,CWIN,Ballarat
15,15172,Clunes,CLUN,Birch
