map_no,mga_zone,x,y,x_base,y_base
351,55,296050,5832450,200000,5800000
201,55,296783,5798315,200000,5700000
266,55,354541,5833697,300000,5800000
300,55,367640,5771120,300000,5700000
352,55,299950,5832534,200000,5800000
353,55,296155,5827574,200000,5800000
354,55,300054,5827657,300000,5800000
355,55,296259,5822697,200000,5800000
356,55,300159,5822781,300000,5800000
357,55,296363,5817821,200000,5800000
358,55,300263,5817904,300000,5800000
359,55,296468,5812944,200000,5800000
360,55,300368,5813028,300000,5800000
361,55,295842,5842204,200000,5800000
362,55,299742,5842287,200000,5800000
363,55,303642,5842370,300000,5800000
364,55,307542,5842453,300000,5800000
365,55,311441,5842536,300000,5800000
202,55,296573,5808068,200000,5800000
203,55,300473,5808151,300000,5800000
204,55,288878,5803023,200000,5800000
252,55,313540,5745020,300000,5700000
253,55,317439,5745105,300000,5700000
254,55,321337,5745190,300000,5700000
255,55,325236,5745274,300000,5700000
288,55,378279,5817944,300000,5800000
289,55,382143,5819652,300000,5800000
290,55,386041,5819735,300000,5800000
270,55,370136,5834029,300000,5800000
271,55,342948,5828573,300000,5800000
272,55,346847,5828656,300000,5800000
273,55,350746,5828739,300000,5800000
274,55,354645,5828822,300000,5800000
275,55,358544,5828905,300000,5800000
276,55,362442,5828988,300000,5800000
277,55,366341,5829071,300000,5800000
278,55,370240,5829154,300000,5800000
279,55,350850,5823863,300000,5800000
314,55,370967,5795029,300000,5700000
315,55,367173,5790071,300000,5700000
316,55,371071,5790154,300000,5700000
731,55,340839,5736654,300000,5700000
732,55,352885,5736914,300000,5700000
733,55,351980,5740973,300000,5700000
733,55,338024,5735933,300000,5700000
734,55,347285,5742108,300000,5700000
734,55,359183,5734443,300000,5700000
734,55,346094,5739388,300000,5700000
733,55,342506,5741524,300000,5700000
733,55,349688,5736863,300000,5700000
734,55,356096,5734624,300000,5700000
499,55,295132,5761915,200000,5700000
